Year,Cause of death (as per ICD-10 codes),UNIT_MEASURE,Sex,Value
2015,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,2025
2015,(F00-F99) Mental and behavioural disorders,Number,Both sexes,188
2015,(G00-G99) Diseases of the nervous system,Number,Both sexes,447
2015,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2015,(I00-I99) Diseases of the circulatory system,Number,Both sexes,19713
2015,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1718
2015,(K00-K93) Diseases of the digestive system,Number,Both sexes,988
2015,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,42
2015,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,55
2015,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,684
2015,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2015,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,126
2015,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,31
2015,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2098
2015,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1103
2015,(V01-Y98) External causes of mortality,Number,Both sexes,8
2015,Unknown,Number,Both sexes,541
2015,Total,Number,Both sexes,38150
2015,(A00-B99) Infectious and parasitic diseases,Number,M,207
2015,"(C00-C97,D00-D48) Neoplasms",Number,M,4525
2015,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,19
2015,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,856
2015,(F00-F99) Mental and behavioural disorders,Number,M,102
2015,(G00-G99) Diseases of the nervous system,Number,M,241
2015,(I00-I99) Diseases of the circulatory system,Number,M,9012
2015,(J00-J99) Diseases of the respiratory system,Number,M,972
2015,(K00-K93) Diseases of the digestive system,Number,M,571
2015,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,16
2015,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,21
2015,(N00-N99) Diseases of the genitourinary system,Number,M,331
2015,(P00-P96) Certain conditions originating in the perinatal period,Number,M,67
2015,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,15
2015,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1102
2015,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,840
2015,(V01-Y98) External causes of mortality,Number,M,5
2015,Unknown,Number,M,317
2015,Total,Number,M,19219
2015,(A00-B99) Infectious and parasitic diseases,Number,F,163
2015,"(C00-C97,D00-D48) Neoplasms",Number,F,3431
2015,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,36
2015,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1169
2015,(F00-F99) Mental and behavioural disorders,Number,F,86
2015,(G00-G99) Diseases of the nervous system,Number,F,206
2015,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,1
2015,(I00-I99) Diseases of the circulatory system,Number,F,10701
2015,(J00-J99) Diseases of the respiratory system,Number,F,746
2015,(K00-K93) Diseases of the digestive system,Number,F,417
2015,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,26
2015,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,34
2015,(N00-N99) Diseases of the genitourinary system,Number,F,353
2015,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2015,(P00-P96) Certain conditions originating in the perinatal period,Number,F,59
2015,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,16
2015,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,996
2015,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,263
2015,(V01-Y98) External causes of mortality,Number,F,3
2015,Unknown,Number,F,224
2015,Total,Number,F,18931
2016,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,412
2016,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,7761
2016,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,54
2016,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1961
2016,(F00-F99) Mental and behavioural disorders,Number,Both sexes,226
2016,(G00-G99) Diseases of the nervous system,Number,Both sexes,386
2016,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,8
2016,(I00-I99) Diseases of the circulatory system,Number,Both sexes,18959
2016,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1487
2016,(K00-K93) Diseases of the digestive system,Number,Both sexes,1077
2016,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,35
2016,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,46
2016,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,696
2016,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2016,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,117
2016,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,16
2016,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,1730
2016,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1040
2016,(V01-Y98) External causes of mortality,Number,Both sexes,14
2016,Unknown,Number,Both sexes,545
2016,Total,Number,Both sexes,36571
2016,(A00-B99) Infectious and parasitic diseases,Number,M,214
2016,"(C00-C97,D00-D48) Neoplasms",Number,M,4464
2016,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,22
2016,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,789
2016,(F00-F99) Mental and behavioural disorders,Number,M,141
2016,(G00-G99) Diseases of the nervous system,Number,M,213
2016,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,6
2016,(I00-I99) Diseases of the circulatory system,Number,M,878
2016,(J00-J99) Diseases of the respiratory system,Number,M,879
2016,(K00-K93) Diseases of the digestive system,Number,M,619
2016,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,16
2016,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,9
2016,(N00-N99) Diseases of the genitourinary system,Number,M,345
2016,(P00-P96) Certain conditions originating in the perinatal period,Number,M,74
2016,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,9
2016,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,872
2016,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,783
2016,(V01-Y98) External causes of mortality,Number,M,11
2016,Unknown,Number,M,296
2016,Total,Number,M,18542
2016,(A00-B99) Infectious and parasitic diseases,Number,F,198
2016,"(C00-C97,D00-D48) Neoplasms",Number,F,3297
2016,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,32
2016,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1172
2016,(F00-F99) Mental and behavioural disorders,Number,F,85
2016,(G00-G99) Diseases of the nervous system,Number,F,173
2016,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,2
2016,(I00-I99) Diseases of the circulatory system,Number,F,10179
2016,(J00-J99) Diseases of the respiratory system,Number,F,608
2016,(K00-K93) Diseases of the digestive system,Number,F,458
2016,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,19
2016,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,37
2016,(N00-N99) Diseases of the genitourinary system,Number,F,351
2016,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2016,(P00-P96) Certain conditions originating in the perinatal period,Number,F,43
2016,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,7
2016,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,858
2016,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,257
2016,(V01-Y98) External causes of mortality,Number,F,3
2016,Unknown,Number,F,249
2016,Total,Number,F,18029
2017,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,395
2017,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,8136
2017,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,69
2017,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,217
2017,(F00-F99) Mental and behavioural disorders,Number,Both sexes,265
2017,(G00-G99) Diseases of the nervous system,Number,Both sexes,382
2017,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,5
2017,(I00-I99) Diseases of the circulatory system,Number,Both sexes,19207
2017,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1579
2017,(K00-K93) Diseases of the digestive system,Number,Both sexes,1007
2017,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,44
2017,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,44
2017,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,587
2017,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,136
2017,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,27
2017,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2294
2017,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1067
2017,(V01-Y98) External causes of mortality,Number,Both sexes,15
2017,Unknown,Number,Both sexes,550
2017,Total,Number,Both sexes,37979
2017,(A00-B99) Infectious and parasitic diseases,Number,M,209
2017,"(C00-C97,D00-D48) Neoplasms",Number,M,4632
2017,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,25
2017,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,885
2017,(F00-F99) Mental and behavioural disorders,Number,M,147
2017,(G00-G99) Diseases of the nervous system,Number,M,193
2017,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,2
2017,(I00-I99) Diseases of the circulatory system,Number,M,888
2017,(J00-J99) Diseases of the respiratory system,Number,M,936
2017,(K00-K93) Diseases of the digestive system,Number,M,570
2017,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,12
2017,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,17
2017,(N00-N99) Diseases of the genitourinary system,Number,M,299
2017,(P00-P96) Certain conditions originating in the perinatal period,Number,M,75
2017,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,16
2017,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1168
2017,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,780
2017,(V01-Y98) External causes of mortality,Number,M,9
2017,Unknown,Number,M,331
2017,Total,Number,M,19186
2017,(A00-B99) Infectious and parasitic diseases,Number,F,186
2017,"(C00-C97,D00-D48) Neoplasms",Number,F,3504
2017,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,44
2017,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1285
2017,(F00-F99) Mental and behavioural disorders,Number,F,118
2017,(G00-G99) Diseases of the nervous system,Number,F,189
2017,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,3
2017,(I00-I99) Diseases of the circulatory system,Number,F,10327
2017,(J00-J99) Diseases of the respiratory system,Number,F,643
2017,(K00-K93) Diseases of the digestive system,Number,F,437
2017,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,32
2017,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,27
2017,(N00-N99) Diseases of the genitourinary system,Number,F,288
2017,(P00-P96) Certain conditions originating in the perinatal period,Number,F,61
2017,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,Value
2017,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,4591
2017,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,15911
2017,(V01-Y98) External causes of mortality,Number,F,866
2017,Unknown,Number,F,709
2017,Total,Number,F,2552
2018,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,1022
2018,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,25651
2018,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,2752
2018,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,77
2018,(F00-F99) Mental and behavioural disorders,Number,Both sexes,498
2018,(G00-G99) Diseases of the nervous system,Number,Both sexes,445
2018,(I00-I99) Diseases of the circulatory system,Number,Both sexes,1347
2018,(J00-J99) Diseases of the respiratory system,Number,Both sexes,786
2018,(K00-K93) Diseases of the digestive system,Number,Both sexes,13528
2018,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,1839
2018,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,8211
2018,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,368
2018,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,264
2018,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,1205
2018,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,236
2018,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,12123
2018,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,5122
2018,(V01-Y98) External causes of mortality,Number,Both sexes,16283
2018,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,805
2018,Unknown,Number,Both sexes,848
2018,Total,Number,Both sexes,2860
2018,(A00-B99) Infectious and parasitic diseases,Number,M,1091
2018,"(C00-C97,D00-D48) Neoplasms",Number,M,27009
2018,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,3144
2018,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,781
2018,(F00-F99) Mental and behavioural disorders,Number,M,464
2018,(G00-G99) Diseases of the nervous system,Number,M,518
2018,(I00-I99) Diseases of the circulatory system,Number,M,1484
2018,(J00-J99) Diseases of the respiratory system,Number,M,812
2018,(K00-K93) Diseases of the digestive system,Number,M,14232
2018,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,1978
2018,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,8473
2018,(N00-N99) Diseases of the genitourinary system,Number,M,341
2018,(P00-P96) Certain conditions originating in the perinatal period,Number,M,330
2018,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,1376
2018,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,279
2018,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,12777
2018,(V01-Y98) External causes of mortality,Number,M,257
2018,(Z00-Z99) Factors influencing health status and contract with health services,Number,M,5347
2018,Unknown,Number,M,20
2018,Total,Number,M,667
2018,(A00-B99) Infectious and parasitic diseases,Number,F,48
2018,"(C00-C97,D00-D48) Neoplasms",Number,F,161
2018,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,1
2018,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,16328
2018,(F00-F99) Mental and behavioural disorders,Number,F,745
2018,(G00-G99) Diseases of the nervous system,Number,F,827
2018,(I00-I99) Diseases of the circulatory system,Number,F,17
2018,(J00-J99) Diseases of the respiratory system,Number,F,14
2018,(K00-K93) Diseases of the digestive system,Number,F,397
2018,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,1
2018,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,188
2018,(N00-N99) Diseases of the genitourinary system,Number,F,43
2018,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,3031
2018,(P00-P96) Certain conditions originating in the perinatal period,Number,F,1017
2018,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,261
2018,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1
2018,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,954
2018,(V01-Y98) External causes of mortality,Number,F,30325
2018,Unknown,Number,F,157
2018,Total,Number,F,3288
2019,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,7
2019,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,240
2019,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,37
2019,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,79
2019,(F00-F99) Mental and behavioural disorders,Number,Both sexes,1
2019,(G00-G99) Diseases of the nervous system,Number,Both sexes,7943
2019,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,434
2019,(I00-I99) Diseases of the circulatory system,Number,Both sexes,540
2019,(J00-J99) Diseases of the respiratory system,Number,Both sexes,5
2019,(K00-K93) Diseases of the digestive system,Number,Both sexes,6
2019,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,200
2019,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,0
2019,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,109
2019,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,18
2019,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,1637
2019,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,768
2019,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,206
2019,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,527
2019,(V01-Y98) External causes of mortality,Number,Both sexes,16202
2019,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,100
2019,Unknown,Number,Both sexes,2059
2019,Total,Number,Both sexes,13
2019,(A00-B99) Infectious and parasitic diseases,Number,M,427
2019,"(C00-C97,D00-D48) Neoplasms",Number,M,11
2019,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,82
2019,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,8385
2019,(F00-F99) Mental and behavioural disorders,Number,M,311
2019,(G00-G99) Diseases of the nervous system,Number,M,287
2019,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,12
2019,(I00-I99) Diseases of the circulatory system,Number,M,8
2019,(J00-J99) Diseases of the respiratory system,Number,M,197
2019,(K00-K93) Diseases of the digestive system,Number,M,1
2019,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,79
2019,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,25
2019,(N00-N99) Diseases of the genitourinary system,Number,M,1394
2019,(P00-P96) Certain conditions originating in the perinatal period,Number,M,249
2019,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,55
2019,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1
2019,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,427
2019,(V01-Y98) External causes of mortality,Number,M,14123
2019,(Z00-Z99) Factors influencing health status and contract with health services,Number,M,263
2019,Unknown,Number,M,5288
2019,Total,Number,M,19
2019,(A00-B99) Infectious and parasitic diseases,Number,F,862
2019,"(C00-C97,D00-D48) Neoplasms",Number,F,66
2019,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,157
2019,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1
2019,(F00-F99) Mental and behavioural disorders,Number,F,16007
2019,(G00-G99) Diseases of the nervous system,Number,F,817
2019,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,820
2019,(I00-I99) Diseases of the circulatory system,Number,F,17
2019,(J00-J99) Diseases of the respiratory system,Number,F,10
2019,(K00-K93) Diseases of the digestive system,Number,F,219
2019,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,3
2019,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,226
2019,(N00-N99) Diseases of the genitourinary system,Number,F,56
2019,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,2983
2019,(P00-P96) Certain conditions originating in the perinatal period,Number,F,984
2019,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,242
2019,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1
2019,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,1790
2019,(V01-Y98) External causes of mortality,Number,F,30831
2019,(Z00-Z99) Factors influencing health status and contract with health services,Number,F,160
2019,Unknown,Number,F,3201
2019,Total,Number,F,11
